Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
34560	61035,15625	1224	0,590361445783133	1998	9,91566265060241	2005	0,506024096385542	-1152	0,706315144083384	16192	-9,92765174739424	-768	0,470876762722256	265	-2,48854961832061	163	-4,04580152671756	34	-0,519083969465649	189	0,171818181818182	219	-0,199090909090909	-658	-0,671428571428571	
35200	61054,6875	1219	0,72289156626506	1987	9,97590361445783	2000	0,566265060240964	-1472	0,902513795217658	16128	-9,88841201716738	-896	0,549356223175966	217	-1,54198473282443	101	-3,31297709923664	45	-0,687022900763359	182	0,165454545454545	237	-0,215454545454545	-659	-0,672448979591837	
35840	61074,21875	1218	0,686746987951807	1990	9,98795180722892	2010	0,445783132530121	-1600	0,980993255671367	16320	-10,0061312078479	-640	0,392397302268547	49	-0,717557251908397	47	-0,748091603053435	80	-1,22137404580153	185	0,168181818181818	223	-0,202727272727273	-666	-0,679591836734694	
36480	61093,75	1215	0,614457831325301	1996	10,0240963855422	2001	0,55421686746988	-1216	0,745554874310239	16128	-9,88841201716738	-768	0,470876762722256	-187	-1,12977099236641	74	2,85496183206107	65	-0,99236641221374	183	0,166363636363636	222	-0,201818181818182	-662	-0,675510204081633	
37120	61113,28125	1217	0,530120481927711	2003	10	2002	0,542168674698795	-1152	0,706315144083384	16192	-9,92765174739424	-832	0,510116492949111	-217	-0,82442748091603	54	3,31297709923664	35	-0,534351145038168	187	0,17	234	-0,212727272727273	-660	-0,673469387755102	
37760	61132,8125	1216	0,578313253012048	1999	10,0120481927711	2001	0,55421686746988	-1216	0,745554874310239	16256	-9,96689147762109	-896	0,549356223175966	-145	-0,702290076335878	46	2,21374045801527	36	-0,549618320610687	187	0,17	226	-0,205454545454545	-660	-0,673469387755102	
38400	61152,34375	1222	0,506024096385542	2005	9,93975903614458	2002	0,542168674698795	-1280	0,784794604537094	16192	-9,92765174739424	-896	0,549356223175966	-76	0,0458015267175573	-3	1,16030534351145	17	-0,259541984732824	183	0,166363636363636	226	-0,205454545454545	-667	-0,680612244897959	
39040	61171,875	1219	0,542168674698795	2002	9,97590361445783	1997	0,602409638554217	-1280	0,784794604537094	16128	-9,88841201716738	-896	0,549356223175966	-11	-0,396946564885496	26	0,16793893129771	34	-0,519083969465649	183	0,166363636363636	232	-0,210909090909091	-655	-0,668367346938776	
39680	61191,40625	1222	0,674698795180723	1991	9,93975903614458	1988	0,710843373493976	-1408	0,863274064990803	16128	-9,88841201716738	-1152	0,706315144083384	-1	1,14503816793893	-75	0,0152671755725191	60	-0,916030534351145	182	0,165454545454545	252	-0,229090909090909	-667	-0,680612244897959	
40320	61210,9375	1222	0,578313253012048	1999	9,93975903614458	1990	0,686746987951807	-1280	0,784794604537094	16128	-9,88841201716738	-1024	0,627835683629675	-103	1,63358778625954	-107	1,57251908396947	95	-1,45038167938931	183	0,166363636363636	226	-0,205454545454545	-658	-0,671428571428571	
